field,data_type,description
player,character,Player name
pfr_player_id,character,Player PFR ID
game_id,character,nflfastR game ID
pfr_game_id,character,PFR game ID
team,character,Team
season,numeric,Season
offense_snaps,numeric,Number of snaps on offense
offense_pct,numeric,Percent of offensive snaps taken
defense_snaps,numeric,Number of snaps on defense
defense_pct,numeric,Percent of defensive snaps taken
st_snaps,numeric,Number of snaps on special teams
st_pct,numeric,Percent of special teams snaps taken
